"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN24LA116","ACC","193820","2024-02-20T19:35:00Z","Laotto","Indiana","United States",,"N358AK","CCX-2000-0137","false","Aviation","",,,"Minor","0","0","1",,,,"41.173999999999999","-85.271085999999997","HOFFMAN FARM & FLIGHT LLC","CCX-2000","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193820/pdf"
"CEN24LA117","ACC","193821","2024-02-20T18:30:00Z","San Marcos","Texas","United States",,"N6762A","28862","false","Aviation","",,,,,,,,,,"29.892992","-97.871241999999995","CESSNA","172","AIR","HYI","SAN MARCOS RGNL","false","1",,,"PERS","091","Substantial","VMC",,"Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193821/pdf"
"ERA24LA117","ACC","193826","2024-02-20T15:36:00Z","Dunnellon","Florida","United States",,"N8158F","15064258","false","Aviation","",,,"None","0","0","0",,,,"29.007256000000002","-82.511324000000002","CESSNA","150","AIR",,,"false","1",,,"INST","091","Unknown","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193826/pdf"
"CEN24LA118","ACC","193823","2024-02-20T15:12:00Z","Charleston","Mississippi","United States",,"N14YY","18261390","false","Aviation","",,,"Serious","0","1","0",,,,"34","-90","CESSNA","182P","AIR","MMS","Selfs Airport","false","1",,"NSCH","POSI","091","Destroyed","VMC","Norwoods Air, LLC","Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193823/pdf"
"ERA24LA116","ACC","193824","2024-02-20T13:41:00Z","Farmingdale","New York","United States",,"N33667","28-7505166","false","Aviation","",,,"None","0","0","0",,,,"40.718139999999998","-73.407839999999993","PIPER","PA-28-180","AIR","FRG","Republic Airport","false","1",,,"INST","091","Substantial","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193824/pdf"
"ANC24LA016","ACC","193819","2024-02-20T11:15:00Z","Hana","Hawaii","United States",,"N690WA","1170237D","false","Aviation","",,,"None","0","0","0",,,,"20.671167000000001","-156.05866","HUGHES","369D","HELI",,,"false","1",,"NSCH","OWRK","135","Substantial","VMC","WINDWARD AVIATION INC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193819/pdf"
"DCA24WA102","ACC","193810","2024-02-19T00:55:00Z","Bogotá","Other Foreign","Colombia",,"N176DZ","29697","false","Aviation","",,,"Serious","0","1","1",,,,"4.7013889999999998","-74.146944000000005","BOEING","767-332","AIR",,,"false","2",,"SCHD",,"121","None",,"DELTA AIR LINES INC","Approach","N/A",,"Prelim","","None"
"ANC24LA014","ACC","193817","2024-02-18T18:00:00Z","Galena","Alaska","United States",,"N406AK","208P","false","Aviation","",,,"None","0","0","0",,,,"65.111900000000006","-158.95465999999999","BENJAMIN PRATT","BEARHAWK PATROL","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193817/pdf"
"DCA24WA111","INC","193853","2024-02-18T04:21:00Z","Merida",,"Mexico",,"N589JB","2215","false","Aviation","",,,,,,,,,,,,"AIRBUS","A320-232","AIR",,,"false","2",,,,"121","None",,,"Enroute","N/A",,"Prelim","","None"
"GAA24WA096","ACC","193813","2024-02-17T23:53:00Z","Nassau",,"Bassas Da India",,"C6-JTJ",,"false","Aviation","",,,"None","0","0","0",,,,"25.038889000000001","-77.466110999999998","CESSNA","402","AIR","NAS","Lynden Pindling International Airport","false",,,,,"NUSC","Substantial",,,"Takeoff","N/A",,"Prelim","","None"
"ANC24LA015","ACC","193818","2024-02-16T20:40:00Z","Trapper Creek","Alaska","United States",,"N1258V","R1722154","false","Aviation","",,,,,,,,,,"62.493161999999998","-150.76918000000001","CESSNA","R172K","AIR",,,"false","1",,,"UNK","091","Substantial","VMC",,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193818/pdf"
"WPR24LA091","ACC","193814","2024-02-16T19:28:00Z","Everett","Washington","United States",,"N3538V","15076538","false","Aviation","",,,"None","0","0","0",,,,"47.936799999999998","-122.28885","CESSNA","150M","AIR","PAE","SEATTLE PAINE FLD INTL","false","1",,,"INST","091","Substantial","VMC","PUGET SOUND FLYERS INC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193814/pdf"
"ERA24LA114","ACC","193809","2024-02-16T12:29:00Z","Centreville","Alabama","United States",,"N9160H","17265984","false","Aviation","",,,"Fatal","1","0","0",,,,"33","-87","CESSNA","172M","AIR","None",,"false","1",,,"PERS","091","Substantial","VMC",,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193809/pdf"
"ERA24LA115","ACC","193812","2024-02-16T04:55:00Z","Pierson","Florida","United States",,"N8257L","17256457","false","Aviation","",,,"None","0","0","0",,,,"29.145388000000001","-81.418570000000003","CESSNA","172","AIR","DED",,"false","1",,,"POSI","091","Substantial",,,"Emergency Descent","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193812/pdf"
"ERA24LA119","ACC","193828","2024-02-15T19:10:00Z","Polk City","Florida","United States",,"N429SH","29032","false","Aviation","",,,"None","0","0","0",,,,"28.302724000000001","-81.781730999999994","ALEXANDER SCHLEICHER GMBH & CO","ASW 27-18","GLI",,,"false","0",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193828/pdf"
"GAA24WA100","ACC","193838","2024-02-15T05:00:00Z","Midrand",,"Zambia",,"ZS-RLS",,"false","Aviation","",,,,,,,,,,,,"BELL","407",,,,"false",,,,,,,,,"Maneuvering","N/A",,,"","None"
"WPR24LA090","ACC","193802","2024-02-14T19:10:00Z","Lewistown","Montana","United States",,"N899JS","2049","false","Aviation","",,,"None","0","0","0",,,,"47.047441999999997","-109.47257999999999","ENSTROM","280FX","HELI","LWT","LEWISTOWN MUNI","false","1",,,"PERS","091","Substantial","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193802/pdf"
"CEN24LA115","ACC","193801","2024-02-14T16:10:00Z","Bentonville","Arkansas","United States",,"N95GK","RK-27","false","Aviation","",,,"Serious","0","2","0",,,,"36.339869999999998","-94.219418000000005","BEECH","400","AIR","VBT","BENTONVILLE MUNI/LOUISE M THADEN FLD","false","2",,,"BUS","091","Substantial","VMC","PDII LLC","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193801/pdf"
"WPR24LA097","ACC","193860","2024-02-14T12:20:00Z","Mesa","Arizona","United States",,"N25EN","1681","false","Aviation","",,,"None","0","0","0",,,,"33.459502000000001","-111.73067","MARK G ELLINGSON","KITFOX IV","AIR","FFZ","Falcon Field","false","1",,,"PERS","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193860/pdf"
